Sample ID,Mean 01,Mean 02,Mean 03,Mean 04,Mean 05,Mean 06,Mean 07,Mean 08,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,TVC
0C_192h_air_c_b1,11.7922,15.04786,13.44023,12.50393,8.948218,6.270998,6.897223,11.03051,7.324818,7.316849,4.032641,3.856874,3.063112,2.261066,2.755016,4.464125,6.17
0C_192h_air_d_b1,11.43463,13.76615,12.89538,11.7877,8.50833,6.028543,6.391489,9.916937,7.031688,6.631202,3.787962,3.05331,2.464254,1.978396,2.049565,3.257529,6.56
0C_192h_air_e_b1,11.04803,13.20765,12.36111,11.40693,8.146116,5.831615,6.297701,9.893962,7.073287,6.68651,3.703378,3.402984,2.617331,2.053976,2.351556,4.062487,6.7
0C_192h_air_f_b1,11.55353,13.49482,12.68725,11.84093,8.282831,5.944324,6.436653,9.895476,7.171269,6.219359,3.267004,3.23581,2.398817,1.817863,2.035241,2.94729,6.42
0C_216h_air_a_b1,11.4443,13.20768,12.83205,12.28111,8.557804,6.038934,6.57845,10.27571,7.102402,6.19212,3.614377,3.17653,2.47112,1.845479,2.046201,3.354226,6.54
0C_216h_air_b_b1,10.86203,12.57925,12.26303,11.31017,7.993584,5.800026,6.372829,9.913737,7.415753,6.860312,4.010643,3.290931,2.507017,2.099005,2.416599,3.821472,6.93
0C_24h_air_a_b1,11.84316,13.5696,12.44819,11.18427,8.848716,6.199708,6.450391,9.932641,7.674924,6.970392,4.407235,3.733228,3.220506,2.073065,2.34742,4.265576,4.69
0C_24h_air_b_b1,12.0025,13.66492,12.92843,11.58732,9.088855,6.267401,6.587025,10.32314,7.836964,6.68825,4.153681,3.659034,2.891693,1.873412,2.135022,3.866253,4.65
0C_288h_air_a_b1,11.5032,14.19913,14.28985,13.32622,8.871923,6.52006,7.829486,12.73572,7.541778,6.822153,3.472667,3.309893,3.439643,2.725312,2.66263,3.867753,7.54
0C_288h_air_b_b1,10.75408,12.44545,13.2899,12.37992,8.272471,6.06189,7.549481,12.15773,7.480086,6.568919,3.983054,3.624422,2.452555,1.897925,2.488078,4.073335,7.57
0C_312h_air_a_b1,11.03325,12.37497,13.18533,12.29824,7.741351,5.734754,7.384671,12.0168,7.318851,5.958243,3.806828,3.550515,2.335665,1.666144,2.40873,4.38144,8.4
0C_312h_air_b_b1,11.03379,13.0441,13.21886,12.05901,8.022127,6.123178,7.432429,11.55791,7.358477,5.993557,3.45731,3.221962,2.47558,1.76876,2.416936,4.326294,8.49
0C_48h_air_a_b1,9.704579,12.2242,11.87569,10.99461,8.491907,6.105438,6.257199,9.289879,6.903038,6.315331,3.815499,3.633721,3.147785,2.303063,2.398656,3.812527,4.49
0C_48h_air_b_b1,9.654734,11.97779,11.45081,10.23469,7.597045,5.666471,6.007519,8.991579,6.962595,6.357255,3.302044,2.545729,1.959662,1.814208,2.01318,2.815719,4.79
10C_0h_air_a_b1,11.56691,13.42098,12.97742,11.92174,8.783738,6.166619,6.463052,9.998642,8.045664,7.007905,4.14819,3.404042,2.836853,2.01468,2.239283,3.871027,4.91
10C_0h_air_b_b1,11.17305,13.15507,12.87721,11.78161,8.674989,6.09866,6.405933,9.819401,7.854985,7.016522,4.135318,3.911116,3.180505,2.073126,2.386127,4.229118,5.24
10C_0h_air_c_b1,11.50204,14.30801,12.9729,11.69856,8.857832,6.37223,6.632082,10.0535,7.799249,6.872931,3.695359,3.169311,2.751314,2.309187,2.416287,3.493976,4.99
10C_0h_air_d_b1,11.52124,13.34376,12.59516,11.51792,8.659856,6.185965,6.408615,9.719651,7.900397,6.964089,3.667498,2.990334,2.497833,1.965763,2.055718,3.083602,5.03
10C_120h_air_a_b1,9.258317,10.74667,10.31884,9.883474,7.709627,5.73924,5.9674,8.91692,6.983713,6.44373,3.722932,3.500153,2.780025,2.004119,2.283724,3.863837,9.86
10C_120h_air_b_b1,9.180057,10.75438,10.26389,9.939452,7.597988,5.832923,5.914595,9.042273,7.107636,6.80434,3.310547,2.886481,2.29295,2.027371,2.140667,3.198064,9.62
10C_24h_air_a_b1,11.74198,13.49895,12.40975,11.32136,8.07717,5.985175,6.383099,9.560155,7.773395,6.680912,3.613342,2.888582,2.043607,1.67811,1.850579,2.760681,7.29
10C_24h_air_b_b1,11.0219,12.76422,11.40582,10.70519,7.744671,5.689484,6.06193,9.204655,7.700818,7.037711,3.880915,3.645788,2.802559,2.086536,2.27274,3.651816,7.46
10C_48h_air_a_b1,9.434673,11.95598,11.73054,10.54612,7.581231,5.648226,6.123182,9.261478,6.777107,6.424157,3.285155,2.673944,2.24791,1.988585,2.286944,3.333806,6.76
10C_48h_air_b_b1,9.532869,12.35502,12.13633,11.26015,7.97572,5.925401,6.391161,9.753573,6.84339,6.499883,3.466684,3.103696,2.476805,2.235202,2.27203,3.419835,6.56
5C_0h_air_a_b1,11.22479,12.93675,13.00546,11.93931,8.590074,6.108164,6.55771,10.39796,7.90298,6.740113,3.889174,3.431097,2.698837,1.92326,2.260103,3.870709,4.86
5C_0h_air_b_b1,10.67398,12.69572,12.23776,11.12359,8.026031,5.964937,6.301745,9.446736,7.689326,6.688725,3.591205,3.079503,2.311275,1.843031,2.000558,3.15824,4.34
5C_0h_air_c_b1,10.99478,13.10297,12.91787,11.83324,8.510153,6.135722,6.507317,10.05953,7.768589,6.64644,3.742523,3.318906,2.601793,1.743993,1.936368,3.396789,4.83
5C_0h_air_d_b1,11.03817,13.2191,12.36995,11.3197,8.316741,6.077652,6.349021,9.471991,7.808575,6.850542,3.581582,2.909209,2.348393,1.94465,2.004126,2.933815,4.87
5C_120h_air_a_b1,11.3785,13.54067,13.24729,12.04227,7.719558,5.986051,7.32178,11.49583,7.258667,6.762372,3.498521,3.021595,2.394201,2.123158,2.492385,3.477448,8.23
5C_120h_air_b_b1,11.31261,12.38718,12.7338,11.74404,7.477478,5.544709,6.868895,11.06938,7.920097,6.865246,4.465034,4.416674,3.020784,2.248686,2.951569,4.46538,7.14
5C_144h_air_a_b1,10.72616,12.46776,12.68063,11.69714,7.444766,5.736252,6.781723,10.82621,7.207052,6.433692,3.756649,3.154993,2.127957,1.770441,2.250834,3.618587,8.61
5C_144h_air_b_b1,10.61038,11.98351,12.38431,11.47239,7.619025,5.799602,6.529611,10.20278,7.290403,6.615283,4.061542,3.45143,2.475013,1.860368,2.396888,3.977735,8.63
5C_144h_air_c_b1,10.98723,13.27156,12.97607,11.78885,7.592795,5.819035,7.304583,11.76159,7.417225,7.124185,4.348791,3.468782,2.724996,2.442879,3.090491,4.694462,8.67
5C_144h_air_d_b1,10.64806,11.73349,11.85627,10.75612,7.290883,5.559873,6.707885,10.45597,7.26882,6.271894,3.750741,3.064708,2.077757,1.689235,2.251149,3.614618,8.68
5C_24h_air_a_b1,11.46809,12.7902,11.55558,10.69232,8.235666,5.916385,6.135644,9.124209,7.765582,7.042326,3.729357,3.007099,2.427407,1.836703,2.041161,3.213801,5.27
5C_24h_air_b_b1,11.35254,12.73177,12.00213,10.92683,8.309703,5.859094,6.1487,9.554068,7.871532,6.879428,4.351031,3.885722,2.943934,1.882624,2.188287,4.191728,6.11
5C_48h_air_a_b1,9.561722,11.96673,11.94296,10.92655,8.200913,5.917284,6.324855,9.757437,6.939739,6.540012,3.614246,3.292239,2.953127,2.264871,2.517812,3.883341,5.48
5C_48h_air_b_b1,10.10453,12.56871,12.5139,11.3283,8.849065,6.224055,6.534071,10.26783,6.947272,6.128047,3.650603,3.137959,2.777951,2.041502,2.319989,4.073702,5.2
0C_0h_air_a_b2,11.83439,13.79894,13.81614,12.66864,9.619947,6.579656,6.866354,11.55547,7.586699,6.469809,3.547629,3.40656,2.925402,2.035526,2.170587,3.638189,4.03
0C_0h_air_b_b2,10.8826,12.62558,12.89182,11.66824,9.730217,6.60003,6.721891,10.90199,7.439048,6.448133,3.646593,3.236349,2.937576,2.111367,2.224098,3.651952,3.91
